Plampa359746	Clathrin is the major protein of the polyhedral coat of coated pits and vesicles
Plampa85038	-
Plampa23756	Triosephosphate isomerase
Plampa30235	Kelch-like protein 5 isoform
Plampa256810	Chlorophyll A-B binding protein
Plampa164014	Mitochondrial pyruvate carrier
Plampa233671	It is involved in the biological process described with
Plampa56569	Belongs to the universal ribosomal protein uS9 family
Plampa88258	Epididymal secretory protein E1
Plampa99802	ATP:guanido phosphotransferase, N-terminal domain
Plampa10294	Belongs to the peptidase S10 family
Plampa84631	RNA recognition motif
Plampa211206	Alpha-soluble nsf attachment protein
Plampa163764	Phytochelatin synthase
Plampa317423	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Plampa140395	Zinc-ribbon like family
Plampa135647	C3 and PZP-like, alpha-2-macroglobulin
Plampa319936	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family
Plampa356100	Cullin-associated and neddylation-dissociated 1
Plampa139418	Cytochrome b5 domain containing 2
Plampa278312	UTP15 C terminal
Plampa74107	O-acetyl-ADP-ribose deacetylase
Plampa149723	Carnitine deficiency-associated gene expressed in ventricle 3
Plampa30197	Inorganic H+ pyrophosphatase
Plampa41508	programmed cell death
Plampa323268	peptidyl-dipeptidase activity. It is involved in the biological process described with proteolysis
Plampa738	adenylate cyclase binding
Plampa1572	G-protein coupled GABA receptor activity
Plampa361177	appendage morphogenesis
Plampa29622	zinc ion binding
Plampa235015	ABC transporter
Plampa300887	Myeloid lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)
Plampa76929	sequence-specific DNA binding
Plampa124249	iron assimilation by reduction and transport
Plampa12921	methylated histone binding
Plampa4417	Voltage-dependent anion-selective channel protein
Plampa39476	Serine/Threonine protein kinases, catalytic domain
Plampa308745	Ubiquitin homologues
Plampa5670	2, light intermediate chain 1
Plampa316975	Von Willebrand factor type A domain
Plampa166556	LytB protein
Plampa46370	phenylalanyl-tRNA aminoacylation
Plampa349770	Belongs to the iron ascorbate-dependent oxidoreductase family
Plampa51366	Belongs to the importin alpha family
Plampa34791	Sterol-sensing domain of SREBP cleavage-activation
Plampa30125	Belongs to the AAA ATPase family
Plampa64248	pump that utilizes the energy of pyrophosphate hydrolysis as the driving force for
Plampa5357	Ring finger protein
Plampa32018	regulation of response to stimulus
Plampa30839	NADPH:sulfur oxidoreductase activity
Plampa8505	Transcriptional adapter 1
Plampa172492	Peptidase family M28
Plampa281502	Alcohol dehydrogenase, iron containing, 1
Plampa45827	zinc ion binding
Plampa1945	mitochondrial tRNA thio-modification
Plampa4508	Small nuclear ribonucleoprotein
Plampa71500	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation
Plampa7170	NADPH oxidase
Plampa81917	RNA recognition motif
Plampa267211	40S ribosomal protein S2. Source PGD
Plampa88638	Belongs to the AAA ATPase family
Plampa31619	-
Plampa15168	-
Plampa281564	AMP-binding enzyme
Plampa91863	alanyl-tRNA aminoacylation
Plampa237294	Calcium ion binding
Plampa85885	60S ribosomal protein L7
Plampa55557	ribosomal protein
Plampa98898	Pfam:RRM_6
Plampa5591	Transposase IS4
Plampa137047	Rab GTPase binding
Plampa9122	positive regulation of interferon-beta production
Plampa166374	Belongs to the KdsA family
Plampa4255	RNA pseudouridylate synthase
Plampa99288	Belongs to the peroxidase family
Plampa212428	Protein kinase, membrane associated tyrosine threonine 1
Plampa58481	Produces ATP from ADP in the presence of a proton gradient across the membrane
Plampa173840	Oligosaccharyl transferase STT3 subunit
Plampa99890	Protein phosphatase 2A regulatory B subunit (B56 family)
Plampa722	Glycosyl hydrolases family 25
Plampa312019	Belongs to the glutathione peroxidase family
Plampa225620	Zinc ion binding
Plampa124002	Fructose-bisphosphate aldolase class-I
Plampa5705	negative regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis
Plampa305195	phosphatase activity. It is involved in the biological process described with
Plampa309994	MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)
Plampa5413	urocanate hydratase activity
Plampa169827	AAA domain
Plampa302580	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Plampa164827	Prolyl oligopeptidase, N-terminal beta-propeller domain
Plampa67577	Sushi domain-containing protein
Plampa7470	bone morphogenetic protein
Plampa95034	Prolyl 4-hydroxylase alpha subunit homologues.
Plampa23143	fucoxanthin chlorophyll a c protein
Plampa2177	primary miRNA processing
Plampa2190	Uncharacterized conserved protein (DUF2347)
Plampa130701	Glycosyltransferase (GlcNAc)
Plampa2525	IQ motif containing GTPase activating protein
Plampa100047	metal ion binding
Plampa5184	ES1 protein homolog, mitochondrial
Plampa80269	Belongs to the glycosyl hydrolase 47 family
Plampa319224	peptidyl-prolyl cis-trans isomerase activity
Plampa1473	L-arabinose:NADP reductase activity
Plampa119685	symporter activity
Plampa130109	ribosomal small subunit assembly
Plampa15886	Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane
Plampa119096	Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
Plampa1603	Mitogen-activated protein kinase kinase kinase
Plampa261178	RAB3A interacting protein (rabin3)-like 1
Plampa359883	N-acetyl-beta-D-galactosaminidase activity
Plampa327742	heterogeneous nuclear ribonucleoprotein
Plampa33143	zinc ion binding
Plampa134136	Hydroxymethylglutaryl-coenzyme A reductase
Plampa40793	Transthyretin-like family
Plampa211751	sequence-specific DNA binding
Plampa261053	TB2/DP1, HVA22 family
Plampa279482	Tetraketide alpha-pyrone reductase
Plampa112052	Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis the synthesis of acetylglutamate from glutamate and acetyl-CoA, and of ornithine by transacetylation between acetylornithine and glutamate
Plampa752	Armadillo repeat containing 2
Plampa78202	Cathepsin propeptide inhibitor domain (I29)
Plampa79760	MYC binding protein 2, E3 ubiquitin protein ligase
Plampa63694	transcription termination factor 3
Plampa218089	Asunder, spermatogenesis regulator homolog (Drosphila)
Plampa179309	serine O-acetyltransferase activity
Plampa365701	Four repeated domains in the Fasciclin I family of proteins, present in many other contexts.
Plampa22591	Multidrug and toxin extrusion protein
Plampa324163	Vacuolar 14 Fab1-binding region
Plampa5999	SH3 domain binding
Plampa261958	RAB GTPase Vps21 Ypt51
Plampa39064	Enhancer of polycomb-like
Plampa136238	Proteasome subunit alpha type
Plampa352315	Transketolase, C-terminal domain
Plampa13249	K02A2.6-like
Plampa351717	Selenium binding. It is involved in the biological process described with cell redox homeostasis
Plampa112367	Nicotinate phosphoribosyltransferase (NAPRTase) family
Plampa226480	Eukaryotic initiation factor 4E
Plampa12109	-
Plampa302223	AMP-binding enzyme
Plampa58499	Protein kinase domain containing protein
Plampa262183	Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)
Plampa44802	retrotransposable element Tf2 155 kDa protein type 1-like
Plampa341844	carbonate dehydratase activity
Plampa269461	Histone acetyltransferase subunit NuA4
Plampa43428	Ribosomal Proteins L2, C-terminal domain
Plampa355596	Membrane-associating domain
Plampa114874	RNA binding
Plampa210365	metalloendopeptidase activity
Plampa229145	Leucine Rich repeat
Plampa166258	positive regulation of DNA N-glycosylase activity
Plampa366972	glycerol ether metabolic process
Plampa266359	tRNA 5'-leader removal
Plampa118529	Component of the MICOS complex, a large protein complex of the mitochondrial inner membrane that plays crucial roles in the maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane
Plampa28003	protein serine/threonine kinase activity
Plampa47052	EGF domain, unclasssified subfamily
Plampa306180	U7 snRNA binding
Plampa34132	ATP-dependent microtubule motor activity, minus-end-directed
Plampa3026	glycine biosynthetic process from serine
Plampa24684	protein dimerization activity
Plampa228599	ESSS subunit of NADH:ubiquinone oxidoreductase (complex I)
Plampa58518	WHEP-TRS
Plampa29081	Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold
Plampa305704	TPR repeat
Plampa120339	acetoacetyl-CoA synthetase
Plampa179386	Catalyzes the rate-limiting step of the oxidative pentose-phosphate pathway, which represents a route for the dissimilation of carbohydrates besides glycolysis
Plampa1373	Zinc finger C-x8-C-x5-C-x3-H type (and similar)
Plampa259838	Structural constituent of ribosome. It is involved in the biological process described with translation
Plampa139176	Membrane-bound transcription factor peptidase, site 1
Plampa166028	-
Plampa2783	-
Plampa309775	SCAN domain
Plampa85419	Ricin-type beta-trefoil lectin domain
Plampa81	NADP-retinol dehydrogenase activity
Plampa54350	Scavenger receptor Cys-rich
Plampa7491	EP4 subtype prostaglandin E2 receptor binding
Plampa18828	homophilic cell adhesion via plasma membrane adhesion molecules
Plampa59205	Coiled-coil and interaction region of P66A and P66B with MBD2
Plampa1971	intra-S DNA damage checkpoint
Plampa2564	acyl-CoA synthetase bubblegum family member 2
Plampa5893	mutS protein homolog
Plampa125959	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Plampa35537	Domain present in PSD-95, Dlg, and ZO-1/2.
Plampa172368	adenylate kinase activity. It is involved in the biological process described with ATP metabolic process
Plampa358069	Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family
Plampa67906	Required for maturation of ribosomal RNAs and formation of the large ribosomal subunit
Plampa76324	Belongs to the spectrin family
Plampa56861	Sec23/Sec24 beta-sandwich domain
Plampa362809	Glycosyl hydrolase family 30 TIM-barrel domain
Plampa255159	Phytoene synthase
Plampa139950	Essential component of the PAM complex, a complex required for the translocation of transit peptide-containing proteins from the inner membrane into the mitochondrial matrix in an ATP-dependent manner
Plampa308663	The light-harvesting complex (LHC) functions as a light receptor, it captures and delivers excitation energy to photosystems with which it is closely associated
Plampa16772	tetratricopeptide repeat
Plampa255669	Phosphatidylserine synthase
Plampa173129	Heat shock 70 kDa protein 12A-like
Plampa128024	Domain of unknown function (DUF3474)
Plampa17798	Belongs to the eukaryotic ribosomal protein eL15 family
Plampa121422	Aminotransferase class-V
Plampa132756	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Plampa4043	actin filament polymerization
Plampa182373	Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives
Plampa216941	Sperm-tail PG-rich repeat
Plampa98622	Belongs to the AAA ATPase family
Plampa272997	Belongs to the class-I aminoacyl-tRNA synthetase family
Plampa96460	flap-structured DNA binding
Plampa68438	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
Plampa58537	zinc finger
Plampa79503	Domain in the RNA-binding Lupus La protein; unknown function
Plampa219832	Major vault protein
Plampa78721	activation of NF-kappaB-inducing kinase activity
Plampa3885	ribosomal large subunit assembly
Plampa8756	gamete generation
Plampa24829	Pleckstrin homology domain containing, family G (with RhoGef domain) member 1
Plampa53466	negative regulation of mRNA polyadenylation
Plampa370228	Vacuolar protein sorting 55
Plampa377758	ligase activity
Plampa112348	DNA ligase
Plampa3912	DR1-associated protein 1 (negative cofactor 2 alpha)
Plampa171937	2-acylglycerol O-acyltransferase activity
Plampa44371	RecQ zinc-binding
Plampa300796	Sequence-specific DNA binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Plampa944	Salt stress response/antifungal
Plampa47159	Belongs to the universal ribosomal protein uS4 family
Plampa310341	heat shock factor
Plampa27512	Hikeshi, heat shock protein nuclear import factor
Plampa164316	Eukaryotic protein of unknown function (DUF846)
Plampa41616	cytochrome c oxidase assembly
Plampa67848	It is involved in the biological process described with carbohydrate metabolic process
Plampa170041	K02A2.6-like
Plampa212005	Oligosaccharyl transferase STT3 subunit
Plampa219260	Leishmanolysin
Plampa347045	assists the folding of proteins upon ATP hydrolysis
Plampa353449	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
Plampa170564	PFAM FKBP-type peptidyl-prolyl cis-trans isomerase
Plampa87752	Belongs to the ubiquitin-conjugating enzyme family
Plampa42982	Sterol-sensing domain of SREBP cleavage-activation
Plampa48481	Interferon induced with helicase C domain 1
Plampa29449	protein glycosylation in Golgi
Plampa119597	Belongs to the glycosyl hydrolase 31 family
Plampa2950	substrate-specific adapter of an E3 ubiquitin- protein ligase complex which mediates the ubiquitination and subsequent proteasomal degradation of target proteins. May have a role in synapse differentiation and growth (By similarity)
Plampa163928	Initiation factor eIF2 gamma, C terminal
Plampa263405	Belongs to the TRAFAC class dynamin-like GTPase superfamily. Dynamin Fzo YdjA family
Plampa49144	Signal transducer and activator of transcription
Plampa169979	branching enzyme
Plampa2700	RCD1 required for cell differentiation1 homolog (S. pombe)
Plampa76246	negative regulation of transcription from RNA polymerase II promoter involved in heart development
Plampa218883	Endonuclease/Exonuclease/phosphatase family
Plampa951	Tyrosine kinase, catalytic domain
Plampa221009	homophilic cell adhesion via plasma membrane adhesion molecules
Plampa350878	Death-inducer obliterator 1
Plampa1021	cell division
Plampa308525	Helix-turn-helix domain
Plampa259187	Belongs to the peptidase C19 family
Plampa165242	Taurine catabolism dioxygenase TauD, TfdA family
Plampa45380	Vacuolar Protein
Plampa73396	Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit
Plampa8972	Belongs to the class-I aminoacyl-tRNA synthetase family
Plampa16674	iron assimilation by reduction and transport
Plampa16485	-
Plampa89876	Stage II sporulation protein E (SpoIIE)
Plampa164161	Binds specifically to cytosolic chaperonin (c-CPN) and transfers target proteins to it. Binds to nascent polypeptide chain and promotes folding in an environment in which there are many competing pathways for nonnative proteins
Plampa116023	Zinc ion binding
Plampa80464	Belongs to the cyclin family
Plampa46825	Interferon-inducible GTPase (IIGP)
Plampa35558	Component of the PeBoW complex, which is required for maturation of 28S and 5.8S ribosomal RNAs and formation of the 60S ribosome
Plampa50176	Ubiquitin conjugation factor E4 A
Plampa31442	Proteasome subunit A N-terminal signature  Add an annotation
Plampa166012	Protein kinase domain
Plampa11053	EF-hand calcium-binding domain-containing protein 2
Plampa10931	UDP-xylosyltransferase activity
Plampa14952	Calcium ion binding. It is involved in the biological process described with homophilic cell adhesion via plasma membrane adhesion molecules
Plampa22185	Ca2+ insensitive EF hand
Plampa59792	transducin-like enhancer
Plampa104275	Belongs to the terpene cyclase mutase family
Plampa6985	snRNA processing
Plampa14491	ATPase activity
Plampa154692	Methyltransferase domain
Plampa131976	Peptidase family M3
Plampa921	intracellular distribution of mitochondria
Plampa1450	binding. It is involved in the biological process described with protein phosphorylation
