Plampa23756	K01803
Plampa217574	K24068
Plampa164014	K22139
Plampa233671	K20067
Plampa56569	K02960
Plampa76194	K10885
Plampa84631	K03102
Plampa211206	K15296
Plampa317423	K13750
Plampa135647	K06530
Plampa356100	K17263
Plampa15780	K10456
Plampa5670	K12132
Plampa46370	K01889
Plampa262777	K24348
Plampa30125	K03066
Plampa32018	K01315
Plampa30839	K19947
Plampa8505	K11317
Plampa172492	K01302
Plampa1945	K00566
Plampa71500	K02110
Plampa4508	K07494
Plampa7170	K21424
Plampa81917	K14787
Plampa88638	K03064
Plampa106893	K20692
Plampa31619	K07466
Plampa15168	K24227
Plampa281564	K01897
Plampa85885	K02937
Plampa215721	K18732
Plampa55557	K02883
Plampa99288	K00428
Plampa173840	K07151
Plampa99890	K11584
Plampa312019	K00432
Plampa124002	K01623
Plampa5413	K01712
Plampa164827	K01354
Plampa67577	K24470
Plampa1473	K00002
Plampa1603	K13986
Plampa359883	K12373
Plampa102730	K02183
Plampa327742	K13161
Plampa261053	K17279
Plampa752	K24123
Plampa63694	K15032
Plampa79760	K10693
Plampa22591	K03327
Plampa39064	K11348
Plampa13249	K07497
Plampa226480	K03259
Plampa44802	K07497
Plampa341844	K01672
Plampa43428	K02938
Plampa12904	K08848
Plampa166258	K02985
Plampa24797	K07203
Plampa366972	K03671
Plampa111055	K23820
Plampa6570	K10152
Plampa318554	K17800
Plampa117201	K20133
Plampa306180	K11088
Plampa3026	K00600
Plampa58518	K01880
Plampa29081	K03263
Plampa120339	K01907
Plampa320384	K00799
Plampa13263	K10380
Plampa227355	K12471
Plampa259838	K02872
Plampa2783	K01557
Plampa100899	K15167
Plampa85419	K00710
Plampa7491	K10349
Plampa18828	K16506
Plampa2564	K15013
Plampa59205	K23194
Plampa125959	K25006
Plampa3274	K16667
Plampa67906	K14824
Plampa56861	K14007
Plampa362809	K01201
Plampa139950	K03687
Plampa308663	K08908
Plampa255669	K08729
Plampa16772	K24935
Plampa128024	K10257
Plampa17798	K02877
Plampa121422	K11717
Plampa132756	K12483
Plampa184179	K02883
Plampa52355	K16726
Plampa182373	K03644
Plampa260710	K25202
Plampa98622	K22530
Plampa96460	K15363
Plampa58537	K12896
Plampa3885	K02867
Plampa219832	K17266
Plampa53466	K23038
Plampa377758	K00666
Plampa3912	K21752
Plampa944	K12132
Plampa310341	K09419
Plampa27512	K23327
Plampa67848	K01183
Plampa170041	K07497
Plampa212005	K07151
Plampa15397	K11997
Plampa87752	K10573
Plampa48481	K12649
Plampa29449	K23555
Plampa119597	K05546
Plampa163928	K03242
Plampa2950	K10457
Plampa49144	K11224
Plampa76246	K03626
Plampa218883	K12351
Plampa221009	K16669
Plampa87387	K02261
Plampa1021	K16466
Plampa259187	K11838
Plampa73396	K02963
Plampa89876	K17508
Plampa102190	K16669
Plampa5492	K20473
Plampa10931	K23800
Plampa367584	K01890
Plampa22185	K05699
Plampa58109	K18985
Plampa59792	K04497
Plampa6985	K13146
Plampa131976	K01410
Plampa1450	K01069
Plampa218036	K20293
Plampa6238	K13912
Plampa344846	K12194
Plampa58706	K24978
Plampa11118	K16760
Plampa91171	K12191
Plampa9523	K05125
Plampa310247	K24741
Plampa135062	K02216
Plampa29151	K09250
Plampa50494	K06067
Plampa174267	K17751
Plampa227745	K24674
Plampa20583	K24157
Plampa6322	K16315
Plampa132331	K19511
Plampa77792	K02575
Plampa64665	K01672
Plampa86791	K00789
Plampa277020	K09578
Plampa7101	K04615
Plampa26084	K08234
Plampa902	K17916
Plampa29876	K09624
Plampa215861	K03782
Plampa221199	K02115
Plampa309183	K14567
Plampa179720	K00968
Plampa176522	K01595
Plampa67670	K01113
Plampa32543	K12307
Plampa261692	K01834
Plampa51278	K10352
Plampa1052	K23209
Plampa364517	K07889
Plampa73278	K14310
Plampa43075	K18334
Plampa19873	K12231
Plampa37754	K16634
Plampa167618	K01802
Plampa91464	K17686
Plampa257434	K05607
Plampa308019	K04851
Plampa218579	K22628
Plampa51324	K14945
Plampa112301	K06115
Plampa33540	K06768
Plampa851	K01206
Plampa354579	K00688
Plampa60690	K24095
Plampa7992	K23929
Plampa4399	K10696
